geometry,borough,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt
POINT (-73.892236 40.8558909),BX,3053,72,385.0,3002.0,15.0,10458.0,48.0,1000.0,2330 WASHINGTON AVENUE,R6A,,,,,C1,2.0,0.0,X,NYC HOUSING PRESERVATION AND DEVELOPMENT,"4,417","19,000","19,000",0,0,0,2.0,1,5.0,20,20,50,88.33,50,76.0,0.0,False,5.0,16200.0,335250.0,1910.0,"1,991",0,,,4.3,3.0,2,2030530072,385.0,1014061.0,251120.0,40.8558909,-73.892236,3c,,,,1,t,,2038500.0,20385003002.0,1910-01-01,1991-01-01,
POINT (-73.8893166 40.8246341),BX,2748,24,119.0,2000.0,17.0,10459.0,41.0,2900.0,1048 FAILE STREET,R7-1,,,,,V0,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"2,050",0,,,,,7.0,0,,0,0,20.5,100,0,0.0,0.0,False,5.0,9720.0,9720.0,0.0,0,0,,,0.0,3.44,2,2027480024,119.0,1014883.0,239733.0,40.8246341,-73.8893166,6c,,,,1,t,,2011900.0,20119002000.0,,,
POINT (-73.8663336 40.6588514),BK,4586,1,1070.0,1003.0,42.0,11239.0,75.0,6420.0,1 ERSKINE ST,PARK,R3-2,R6,C4-2,,Q0,9.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"1,247,397",0,,,,,7.0,0,,0,0,"1,933.25","1,541.08",0,0.0,0.0,True,5.0,44155800.0,44155800.0,2012.0,0,0,,,0.0,0.0,3,3045860001,1070.0,1021336.0,179342.0,40.6588514,-73.8663336,18b,True,3045860001.0,02/24/2023,1,t,,3107001.0,31070011008.0,2012-01-01,,
POINT (-73.8732635 40.6555902),BK,4452,400,1070.0,1001.0,42.0,11239.0,75.0,6420.0,ASHFORD STREET,R7A,R6,,,,V0,11.0,0.0,M,NYC HOUSING PRESERVATION AND DEVELOPMENT,"79,282",0,,,,,7.0,0,,0,0,"1,545",955,0,0.0,0.0,True,5.0,588120.0,588120.0,0.0,0,0,,,0.0,4.0,3,3044520400,1070.0,1019415.0,178151.0,40.6555902,-73.8732635,17d,,3044520400.0,09/19/2022,1,t,,3107001.0,31070011011.0,,,
POINT (-73.8721004 40.6569558),BK,4452,170,1070.0,1002.0,42.0,11239.0,75.0,6420.0,VANDALIA AVENUE,PARK,R6,C4-2,,,Q9,9.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"1,440,422",600,0,0,0,600,2.0,1,1.0,0,1,"2,811","2,285",20,30.0,1.0,False,5.0,50039850.0,67059900.0,2013.0,0,0,,,0.0,0.0,3,3044520170,1070.0,1019737.0,178649.0,40.6569558,-73.8721004,17d,True,3044520170.0,12/06/2022,1,t,,3107001.0,31070011011.0,2013-01-01,,
POINT (-73.9336069 40.8032757),MN,1790,26,242.0,3006.0,8.0,10035.0,25.0,1700.0,2453 2 AVENUE,C6-3,,,,,V1,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"2,625",0,,,,,7.0,0,,0,0,25,105,0,0.0,0.0,False,5.0,528750.0,528750.0,0.0,0,0,,,0.0,7.52,1,1017900026,242.0,1002631.0,231939.0,40.8032757,-73.9336069,6b,,,,1,t,,1024200.0,10242003006.0,,,
POINT (-73.9337476 40.803457),MN,1790,30,242.0,3006.0,8.0,10035.0,25.0,1700.0,238 EAST 126 STREET,C6-3,,,,,V1,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"2,498",0,,,,,7.0,0,,0,0,25,99.92,0,0.0,0.0,False,5.0,505800.0,505800.0,0.0,0,0,,,0.0,7.52,1,1017900030,242.0,1002592.0,232005.0,40.803457,-73.9337476,6b,,,,1,t,,1024200.0,10242003006.0,,,
POINT (-73.9471189 40.8269724),MN,2079,27,233.0,3000.0,7.0,10031.0,30.0,620.0,505 WEST 147 STREET,R6A,,,,,C1,2.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"1,998","7,848","7,848",0,0,0,2.0,1,5.0,10,10,20,99.92,20,85.0,3.0,False,5.0,139050.0,436950.0,1930.0,0,0,,,3.93,3.0,1,1020790027,233.0,998885.0,240570.0,40.8269724,-73.9471189,3b,,,,1,t,,1023300.0,10233003000.0,1930-01-01,,
POINT (-73.9470394 40.8269394),MN,2079,28,233.0,3000.0,7.0,10031.0,30.0,620.0,503 WEST 147 STREET,R6A,,,,,C1,2.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"2,998","11,430","11,430",0,0,0,2.0,1,5.0,10,10,30,99.92,30,86.0,2.0,False,5.0,202500.0,524700.0,1930.0,0,0,,,3.81,3.0,1,1020790028,233.0,998907.0,240558.0,40.8269394,-73.9470394,3b,,,,1,t,,1023300.0,10233003000.0,1930-01-01,,
POINT (-73.9932239 40.7665866),MN,1080,103,135.0,2004.0,3.0,10019.0,18.0,4500.0,728 11 AVENUE,R8A,,,,,W9,8.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"17,523","18,019",0,0,0,"18,019",2.0,3,1.0,0,5,50.2,200,50.2,100.0,0.0,True,5.0,691200.0,5406300.0,1910.0,0,0,,,1.03,6.02,1,1010800103,135.0,986127.0,218565.0,40.7665866,-73.9932239,8c,,1010800001.0,12/07/2018,1,t,,1013501.0,10135011000.0,1910-01-01,,
POINT (-73.9342785 40.8035314),MN,1790,13,242.0,3006.0,8.0,10035.0,25.0,1700.0,243 EAST 125 STREET,C6-3,,,,,G6,10.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"40,998",0,,,,,7.0,0,,0,0,183.33,199.83,0,0.0,0.0,True,4.0,2479050.0,2479050.0,0.0,0,0,,,0.0,7.52,1,1017900013,242.0,1002445.0,232032.0,40.8035314,-73.9342785,6b,,1017900013.0,04/24/2018,1,t,,1024200.0,10242003006.0,,,
POINT (-73.9339682 40.8032238),MN,1790,20,242.0,3006.0,8.0,10035.0,25.0,1700.0,249 EAST 125 STREET,C6-3,,,,,V1,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"5,296",0,,,,,7.0,0,,0,0,53,99.92,0,0.0,0.0,False,5.0,1096200.0,1096200.0,0.0,0,0,,,0.0,7.52,1,1017900020,242.0,1002531.0,231920.0,40.8032238,-73.9339682,6b,,,,1,t,,1024200.0,10242003006.0,,,
POINT (-73.9334731 40.8034623),MN,1790,29,242.0,3006.0,8.0,10035.0,25.0,1700.0,2459 2 AVENUE,C6-3,,,,,V1,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"2,616",0,,,,,7.0,0,,0,0,24.92,105,0,0.0,0.0,False,3.0,556200.0,556200.0,0.0,0,0,,,0.0,7.52,1,1017900029,242.0,1002668.0,232007.0,40.8034623,-73.9334731,6b,,,,1,t,,1024200.0,10242003006.0,,,
POINT (-73.9336315 40.8040443),MN,1791,25,242.0,3007.0,8.0,10035.0,25.0,1700.0,2469 2 AVENUE,C6-3,,,,,Z9,,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"22,982",0,,,,,7.0,1,,0,0,99.92,230,0,0.0,0.0,False,3.0,612450.0,612450.0,0.0,0,0,,,0.0,7.52,1,1017910025,242.0,1002624.0,232219.0,40.8040443,-73.9336315,6b,,,,1,t,,1024200.0,10242003005.0,,,
POINT (-73.9332343 40.8038986),MN,1791,20,242.0,3007.0,8.0,10035.0,25.0,1700.0,2461 2 AVENUE,C6-3,,,,,G7,10.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"25,480",0,,,,,7.0,0,,0,0,99.92,255,0,0.0,0.0,False,3.0,3377250.0,3377250.0,0.0,0,0,,,0.0,7.52,1,1017910020,242.0,1002734.0,232166.0,40.8038986,-73.9332343,6b,,1017910001.0,07/29/2015,1,t,,1024200.0,10242003005.0,,,
POINT (-73.9348954 40.8043936),MN,1791,46,242.0,3007.0,8.0,10035.0,25.0,1700.0,2321 3 AVENUE,C6-3,,,,,V9,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"6,983",0,,,,,7.0,0,,0,0,69.83,100,0,0.0,0.0,False,3.0,949050.0,949050.0,0.0,0,0,,,0.0,7.52,1,1017910046,242.0,1002274.0,232346.0,40.8043936,-73.9348954,6b,True,1017910001.0,07/29/2015,1,t,,1024200.0,10242003005.0,,,
POINT (-73.9378846 40.8060887),MN,1775,71,206.0,2005.0,9.0,10035.0,25.0,1600.0,106 EAST 127 STREET,M1-6/R10,,,,,G8,5.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"4,046","1,568",0,0,0,"1,568",2.0,1,1.0,0,1,54,74.92,28,56.0,1.0,False,5.0,72900.0,207900.0,1960.0,0,0,,,0.39,10.0,1,1017750071,206.0,1001446.0,232963.0,40.8060887,-73.9378846,6a,,,,1,t,,1020600.0,10206002006.0,1960-01-01,,
