development,tds_#,building_#,stairhall#,borough,house_#,street,address,city,state,zip_code,bin,block,lot,borough/block/lot_#,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude,longitude,geometry
RUTGERS,99,1,1,MANHATTAN,45,PIKE STREET,45 PIKE STREET,NEW YORK,NY,"10,002",1077508,255,1,1002550001,6,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.71212,-73.992041,POINT (-73.992041 40.71212)
RUTGERS,99,2,2,MANHATTAN,65,PIKE STREET,65 PIKE STREET,NEW YORK,NY,"10,002",1077509,255,1,1002550001,6,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.711393,-73.991911,POINT (-73.991911 40.711393)
RUTGERS,99,3,3,MANHATTAN,54,RUTGERS STREET,54 RUTGERS STREET,NEW YORK,NY,"10,002",1077510,255,1,1002550001,6,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.711571,-73.990018,POINT (-73.990018 40.711571)
RUTGERS,99,4,4,MANHATTAN,38,RUTGERS STREET,38 RUTGERS STREET,NEW YORK,NY,"10,002",1077511,255,1,1002550001,6,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.712268,-73.990128,POINT (-73.990128 40.712268)
RUTGERS,99,5,5,MANHATTAN,160,MADISON STREET,160 MADISON STREET,NEW YORK,NY,"10,002",1077512,255,1,1002550001,6,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.71235,-73.990968,POINT (-73.990968 40.71235)
SAINT MARY'S PARK,93,1,1,BRONX,550,CAULDWELL AVENUE,550 CAULDWELL AVENUE,BRONX,NY,"10,455",2091318,2623,135,2026230135,73,BX0102,Melrose,1,8,84,29,15,,40.814232,-73.910407,POINT (-73.910407 40.814232)
SAINT MARY'S PARK,93,2,2,BRONX,595,TRINITY AVENUE,595 TRINITY AVENUE,BRONX,NY,"10,455",2091317,2623,135,2026230135,73,BX0102,Melrose,1,8,84,29,15,,40.815101,-73.909695,POINT (-73.909695 40.815101)
SAINT MARY'S PARK,93,3,3,BRONX,645,WESTCHESTER AVENUE,645 WESTCHESTER AVENUE,BRONX,NY,"10,455",2093928,2628,1,2026280001,75,BX0102,Melrose,1,8,84,29,15,,40.816596,-73.909022,POINT (-73.909022 40.816596)
SAINT MARY'S PARK,93,4,4,BRONX,665,WESTCHESTER AVENUE,665 WESTCHESTER AVENUE,BRONX,NY,"10,455",2093933,2628,1,2026280001,75,BX0102,Melrose,1,8,84,29,15,,40.817358,-73.908131,POINT (-73.908131 40.817358)
SAINT MARY'S PARK,93,5,5,BRONX,700,EAST 156TH STREET,700 EAST 156TH STREET,BRONX,NY,"10,455",2093932,2628,1,2026280001,75,BX0102,Melrose,1,8,84,29,15,,40.817942,-73.907636,POINT (-73.907636 40.817942)
SAINT MARY'S PARK,93,6,6,BRONX,671,WESTCHESTER AVENUE,671 WESTCHESTER AVENUE,BRONX,NY,"10,455",2093934,2628,1,2026280001,75,BX0102,Melrose,1,8,84,29,15,,40.817255,-73.907335,POINT (-73.907335 40.817255)
SAINT NICHOLAS,38,1,1,MANHATTAN,2406,FREDERICK DOUGLASS BOULEVARD,2406 FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,"10,027",1081508,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.81227,-73.949047,POINT (-73.949047 40.81227)
SAINT NICHOLAS,38,2,2,MANHATTAN,240,WEST 129TH STREET,240 WEST 129TH STREET,NEW YORK,NY,"10,027",1081503,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.812001,-73.948434,POINT (-73.948434 40.812001)
SAINT NICHOLAS,38,3,3,MANHATTAN,277,WEST 127TH STREET,277 WEST 127TH STREET,NEW YORK,NY,"10,027",1081504,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.811596,-73.949549,POINT (-73.949549 40.811596)
SAINT NICHOLAS,38,4,4,MANHATTAN,212,WEST 129TH STREET,212 WEST 129TH STREET,NEW YORK,NY,"10,027",1081505,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.811549,-73.947341,POINT (-73.947341 40.811549)
SAINT NICHOLAS,38,5,5,MANHATTAN,217,WEST 127TH STREET,217 WEST 127TH STREET,NEW YORK,NY,"10,027",1081506,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.810874,-73.947832,POINT (-73.947832 40.810874)
SAINT NICHOLAS,38,6,6,MANHATTAN,237,WEST 127TH STREET,237 WEST 127TH STREET,NEW YORK,NY,"10,027",1081507,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.811072,-73.94849,POINT (-73.94849 40.811072)
SAINT NICHOLAS,38,7,7,MANHATTAN,255,WEST 127TH STREET,255 WEST 127TH STREET,NEW YORK,NY,"10,027",1081509,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.811266,-73.948976,POINT (-73.948976 40.811266)
SAINT NICHOLAS,38,8,8,MANHATTAN,2410,FREDERICK DOUGLASS BOULEVARD,2410 FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,"10,027",1081510,1933,50,1019330050,224,MN1002,Harlem (North),10,9,70,30,13,,40.812762,-73.948692,POINT (-73.948692 40.812762)
SAINT NICHOLAS,38,9,9,MANHATTAN,225,WEST 129TH STREET,225 WEST 129TH STREET,NEW YORK,NY,"10,027",1081511,1933,50,1019330050,224,MN1002,Harlem (North),10,9,70,30,13,,40.812302,-73.947316,POINT (-73.947316 40.812302)
SAINT NICHOLAS,38,10,10,MANHATTAN,260,WEST 131ST STREET,260 WEST 131ST STREET,NEW YORK,NY,"10,027",1081512,1933,50,1019330050,224,MN1002,Harlem (North),10,9,70,30,13,,40.813462,-73.948191,POINT (-73.948191 40.813462)
SAINT NICHOLAS,38,11,11,MANHATTAN,250,WEST 131ST STREET,250 WEST 131ST STREET,NEW YORK,NY,"10,027",1081513,1933,50,1019330050,224,MN1002,Harlem (North),10,9,70,30,13,,40.813284,-73.947544,POINT (-73.947544 40.813284)
SAINT NICHOLAS,38,12,12,MANHATTAN,230,WEST 131ST STREET,230 WEST 131ST STREET,NEW YORK,NY,"10,027",1081514,1933,50,1019330050,224,MN1002,Harlem (North),10,9,70,30,13,,40.812996,-73.946852,POINT (-73.946852 40.812996)
SAINT NICHOLAS,38,13,13,MANHATTAN,200,WEST 131ST STREET,200 WEST 131ST STREET,NEW YORK,NY,"10,027",1081515,1933,50,1019330050,224,MN1002,Harlem (North),10,9,70,30,13,,40.812675,-73.946308,POINT (-73.946308 40.812675)
SAINT NICHOLAS,38,2,14,MANHATTAN,230,WEST 129TH STREET,230 WEST 129TH STREET,NEW YORK,NY,"10,027",1081503,1933,1,1019330001,224,MN1002,Harlem (North),10,9,70,30,13,,40.811812,-73.947962,POINT (-73.947962 40.811812)
SEDGWICK,45,1,1,BRONX,140,WEST 174TH STREET,140 WEST 174TH STREET,BRONX,NY,"10,453",2092102,2877,1,2028770001,"20,501",BX0501,University Heights (South)-Morris Heights,5,14,77,31,15,,40.846767,-73.921572,POINT (-73.921572 40.846767)
SEDGWICK,45,2,2,BRONX,150,WEST 174TH STREET,150 WEST 174TH STREET,BRONX,NY,"10,453",2092106,2877,1,2028770001,"20,501",BX0501,University Heights (South)-Morris Heights,5,14,77,31,15,,40.846908,-73.922097,POINT (-73.922097 40.846908)
SEDGWICK,45,3,3,BRONX,160,WEST 174TH STREET,160 WEST 174TH STREET,BRONX,NY,"10,453",2092103,2877,1,2028770001,"20,501",BX0501,University Heights (South)-Morris Heights,5,14,77,31,15,,40.847038,-73.922803,POINT (-73.922803 40.847038)
SEDGWICK,45,4,4,BRONX,1551,UNIVERSITY AVENUE,1551 UNIVERSITY AVENUE,BRONX,NY,"10,453",2092105,2877,1,2028770001,"20,501",BX0501,University Heights (South)-Morris Heights,5,14,77,31,15,,40.846341,-73.922149,POINT (-73.922149 40.846341)
SEDGWICK,45,5,5,BRONX,156,WEST 174TH STREET,156 WEST 174TH STREET,BRONX,NY,"10,453",2092107,2877,1,2028770001,"20,501",BX0501,University Heights (South)-Morris Heights,5,14,77,31,15,,40.84652,-73.922649,POINT (-73.922649 40.84652)
SEDGWICK,45,6,6,BRONX,1535,UNIVERSITY AVENUE,1535 UNIVERSITY AVENUE,BRONX,NY,"10,453",2092104,2877,1,2028770001,"20,501",BX0501,University Heights (South)-Morris Heights,5,14,77,31,15,,40.845963,-73.922692,POINT (-73.922692 40.845963)
SEDGWICK,45,7,7,BRONX,164,WEST 174TH STREET,164 WEST 174TH STREET,BRONX,NY,"10,453",2092108,2877,1,2028770001,"20,501",BX0501,University Heights (South)-Morris Heights,5,14,77,31,15,,40.846142,-73.923197,POINT (-73.923197 40.846142)
SEWARD PARK EXTENSION,192,1,1,MANHATTAN,64,ESSEX STREET,64 ESSEX STREET,NEW YORK,NY,"10,002",1083428,351,1,1003510001,18,MN0302,Lower East Side,3,1,65,27,10,,40.717351,-73.988509,POINT (-73.988509 40.717351)
SEWARD PARK EXTENSION,192,2,2,MANHATTAN,154,BROOME STREET,154 BROOME STREET,NEW YORK,NY,"10,002",1004158,347,80,1003470080,"1,402",MN0302,Lower East Side,3,1,65,27,10,,40.716771,-73.985212,POINT (-73.985212 40.716771)
SHEEPSHEAD BAY,36,1,1,BROOKLYN,2985,AVENUE X,2985 AVENUE X,BROOKLYN,NY,"11,235",3344551,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594428,-73.938262,POINT (-73.938262 40.594428)
SHEEPSHEAD BAY,36,1,2,BROOKLYN,2364,BATCHELDER STREET,2364 BATCHELDER STREET,BROOKLYN,NY,"11,229",3344551,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594568,-73.938288,POINT (-73.938288 40.594568)
SHEEPSHEAD BAY,36,2,3,BROOKLYN,2957,AVENUE X,2957 AVENUE X,BROOKLYN,NY,"11,235",3344550,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594441,-73.939183,POINT (-73.939183 40.594441)
SHEEPSHEAD BAY,36,2,4,BROOKLYN,2955,AVENUE X,2955 AVENUE X,BROOKLYN,NY,"11,235",3344550,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594283,-73.939486,POINT (-73.939486 40.594283)
SHEEPSHEAD BAY,36,3,5,BROOKLYN,2931,AVENUE X,2931 AVENUE X,BROOKLYN,NY,"11,235",3344548,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594129,-73.940273,POINT (-73.940273 40.594129)
SHEEPSHEAD BAY,36,3,6,BROOKLYN,3677,NOSTRAND AVENUE,3677 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3344548,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.59443,-73.940324,POINT (-73.940324 40.59443)
SHEEPSHEAD BAY,36,4,7,BROOKLYN,3645,NOSTRAND AVENUE,3645 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3344554,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595084,-73.940482,POINT (-73.940482 40.595084)
SHEEPSHEAD BAY,36,4,8,BROOKLYN,3641,NOSTRAND AVENUE,3641 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3344554,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595226,-73.94051,POINT (-73.94051 40.595226)
SHEEPSHEAD BAY,36,5,9,BROOKLYN,3663,NOSTRAND AVENUE,3663 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3344555,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594696,-73.939975,POINT (-73.939975 40.594696)
SHEEPSHEAD BAY,36,5,10,BROOKLYN,3661,NOSTRAND AVENUE,3661 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3344555,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594834,-73.940002,POINT (-73.940002 40.594834)
SHEEPSHEAD BAY,36,6,11,BROOKLYN,2354,BATCHELDER STREET,2354 BATCHELDER STREET,BROOKLYN,NY,"11,229",3344553,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594832,-73.938755,POINT (-73.938755 40.594832)
SHEEPSHEAD BAY,36,6,12,BROOKLYN,2352,BATCHELDER STREET,2352 BATCHELDER STREET,BROOKLYN,NY,"11,229",3344553,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.594963,-73.938791,POINT (-73.938791 40.594963)
SHEEPSHEAD BAY,36,7,13,BROOKLYN,2336,BATCHELDER STREET,2336 BATCHELDER STREET,BROOKLYN,NY,"11,229",3344552,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595239,-73.938433,POINT (-73.938433 40.595239)
SHEEPSHEAD BAY,36,7,14,BROOKLYN,2334,BATCHELDER STREET,2334 BATCHELDER STREET,BROOKLYN,NY,"11,229",3344552,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595457,-73.938468,POINT (-73.938468 40.595457)
SHEEPSHEAD BAY,36,8,15,BROOKLYN,2978,AVENUE W,2978 AVENUE W,BROOKLYN,NY,"11,229",3344549,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595909,-73.938701,POINT (-73.938701 40.595909)
SHEEPSHEAD BAY,36,8,16,BROOKLYN,2976,AVENUE W,2976 AVENUE W,BROOKLYN,NY,"11,229",3344549,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595891,-73.938921,POINT (-73.938921 40.595891)
SHEEPSHEAD BAY,36,9,17,BROOKLYN,2938,AVENUE W,2938 AVENUE W,BROOKLYN,NY,"11,229",3334399,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595744,-73.940209,POINT (-73.940209 40.595744)
SHEEPSHEAD BAY,36,9,18,BROOKLYN,2936,AVENUE W,2936 AVENUE W,BROOKLYN,NY,"11,229",3334399,7405,"1,001",3074051001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.595719,-73.940442,POINT (-73.940442 40.595719)
SHEEPSHEAD BAY,36,10,19,BROOKLYN,2935,AVENUE W,2935 AVENUE W,BROOKLYN,NY,"11,229",3337294,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.59623,-73.940534,POINT (-73.940534 40.59623)
SHEEPSHEAD BAY,36,10,20,BROOKLYN,2937,AVENUE W,2937 AVENUE W,BROOKLYN,NY,"11,229",3337294,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.596256,-73.940319,POINT (-73.940319 40.596256)
SHEEPSHEAD BAY,36,11,21,BROOKLYN,2975,AVENUE W,2975 AVENUE W,BROOKLYN,NY,"11,229",3337297,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.596397,-73.939024,POINT (-73.939024 40.596397)
SHEEPSHEAD BAY,36,11,22,BROOKLYN,2977,AVENUE W,2977 AVENUE W,BROOKLYN,NY,"11,229",3337297,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.596426,-73.938795,POINT (-73.938795 40.596426)
SHEEPSHEAD BAY,36,12,23,BROOKLYN,2258,BATCHELDER STREET,2258 BATCHELDER STREET,BROOKLYN,NY,"11,229",3337302,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597096,-73.938746,POINT (-73.938746 40.597096)
SHEEPSHEAD BAY,36,12,24,BROOKLYN,2256,BATCHELDER STREET,2256 BATCHELDER STREET,BROOKLYN,NY,"11,229",3337302,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597238,-73.938786,POINT (-73.938786 40.597238)
SHEEPSHEAD BAY,36,13,25,BROOKLYN,2957,AVENUE W,2957 AVENUE W,BROOKLYN,NY,"11,229",3337295,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.596598,-73.939524,POINT (-73.939524 40.596598)
SHEEPSHEAD BAY,36,13,26,BROOKLYN,2953,AVENUE W,2953 AVENUE W,BROOKLYN,NY,"11,229",3337295,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.596557,-73.9399,POINT (-73.9399 40.596557)
SHEEPSHEAD BAY,36,14,27,BROOKLYN,3573,NOSTRAND AVENUE,3573 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3337305,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.596784,-73.940772,POINT (-73.940772 40.596784)
SHEEPSHEAD BAY,36,14,28,BROOKLYN,3571,NOSTRAND AVENUE,3571 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3337305,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597087,-73.940825,POINT (-73.940825 40.597087)
SHEEPSHEAD BAY,36,15,29,BROOKLYN,3527,NOSTRAND AVENUE,3527 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3337289,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597761,-73.94095,POINT (-73.94095 40.597761)
SHEEPSHEAD BAY,36,15,30,BROOKLYN,2932,AVENUE V,2932 AVENUE V,BROOKLYN,NY,"11,229",3337289,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.598065,-73.941013,POINT (-73.941013 40.598065)
SHEEPSHEAD BAY,36,16,31,BROOKLYN,3549,NOSTRAND AVENUE,3549 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3337303,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597405,-73.940483,POINT (-73.940483 40.597405)
SHEEPSHEAD BAY,36,16,32,BROOKLYN,3547,NOSTRAND AVENUE,3547 NOSTRAND AVENUE,BROOKLYN,NY,"11,229",3337303,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597543,-73.94052,POINT (-73.94052 40.597543)
SHEEPSHEAD BAY,36,17,33,BROOKLYN,2238,BATCHELDER STREET,2238 BATCHELDER STREET,BROOKLYN,NY,"11,229",3337300,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597537,-73.939272,POINT (-73.939272 40.597537)
SHEEPSHEAD BAY,36,17,34,BROOKLYN,2236,BATCHELDER STREET,2236 BATCHELDER STREET,BROOKLYN,NY,"11,229",3337300,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597672,-73.939302,POINT (-73.939302 40.597672)
SHEEPSHEAD BAY,36,18,35,BROOKLYN,2218,BATCHELDER STREET,2218 BATCHELDER STREET,BROOKLYN,NY,"11,229",3337299,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.597983,-73.938951,POINT (-73.938951 40.597983)
SHEEPSHEAD BAY,36,18,36,BROOKLYN,2986,AVENUE V,2986 AVENUE V,BROOKLYN,NY,"11,229",3337299,7387,1,3073870001,572,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,15,46,41,23,8,,40.598286,-73.939008,POINT (-73.939008 40.598286)
SHELTON HOUSE,279,1,7,QUEENS,89-09,162ND STREET,89-09 162ND STREET,JAMAICA,NY,"11,432",4208882,9761,36,4097610036,"44,601",QN1201,Jamaica,12,27,32,14,5,,40.706456,-73.798852,POINT (-73.798852 40.706456)
SMITH,27,1,1,MANHATTAN,20,CATHERINE SLIP,20 CATHERINE SLIP,NEW YORK,NY,"10,038",1077410,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.709494,-73.996611,POINT (-73.996611 40.709494)
SMITH,27,2,2,MANHATTAN,10,CATHERINE SLIP,10 CATHERINE SLIP,NEW YORK,NY,"10,038",1077411,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.709769,-73.997497,POINT (-73.997497 40.709769)
SMITH,27,3,3,MANHATTAN,182,SOUTH STREET,182 SOUTH STREET,NEW YORK,NY,"10,038",1077412,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.709772,-73.998505,POINT (-73.998505 40.709772)
SMITH,27,4,4,MANHATTAN,180,SOUTH STREET,180 SOUTH STREET,NEW YORK,NY,"10,038",1077413,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.709118,-73.998907,POINT (-73.998907 40.709118)
SMITH,27,5,5,MANHATTAN,7,SAINT JAMES PLACE,7 SAINT JAMES PLACE,NEW YORK,NY,"10,038",1077414,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.710209,-73.99923,POINT (-73.99923 40.710209)
SMITH,27,6,6,MANHATTAN,374,PEARL STREET,374 PEARL STREET,NEW YORK,NY,"10,038",1077415,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.710109,-74.000215,POINT (-74.000215 40.710109)
SMITH,27,7,7,MANHATTAN,388,PEARL STREET,388 PEARL STREET,NEW YORK,NY,"10,038",1077416,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.710612,-74.000197,POINT (-74.000197 40.710612)
SMITH,27,8,8,MANHATTAN,26,MADISON STREET,26 MADISON STREET,NEW YORK,NY,"10,038",1077417,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.711318,-73.999397,POINT (-73.999397 40.711318)
SMITH,27,9,9,MANHATTAN,15,SAINT JAMES PLACE,15 SAINT JAMES PLACE,NEW YORK,NY,"10,038",1077418,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.710734,-73.998738,POINT (-73.998738 40.710734)
SMITH,27,10,10,MANHATTAN,40,MADISON STREET,40 MADISON STREET,NEW YORK,NY,"10,038",1077419,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.711532,-73.99864,POINT (-73.99864 40.711532)
SMITH,27,11,11,MANHATTAN,46,MADISON STREET,46 MADISON STREET,NEW YORK,NY,"10,038",1077420,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.711525,-73.998125,POINT (-73.998125 40.711525)
SMITH,27,12,12,MANHATTAN,54,CATHERINE STREET,54 CATHERINE STREET,NEW YORK,NY,"10,038",1077421,111,100,1001110100,25,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.711636,-73.997137,POINT (-73.997137 40.711636)
SOTOMAYOR HOUSES,67,1,1,BRONX,1055,ROSEDALE AVENUE,1055 ROSEDALE AVENUE,BRONX,NY,"10,472",2092784,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.826148,-73.868452,POINT (-73.868452 40.826148)
SOTOMAYOR HOUSES,67,2,2,BRONX,1725,BRUCKNER BOULEVARD,1725 BRUCKNER BOULEVARD,BRONX,NY,"10,472",2092786,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.825599,-73.868657,POINT (-73.868657 40.825599)
SOTOMAYOR HOUSES,67,3,3,BRONX,1715,BRUCKNER BOULEVARD,1715 BRUCKNER BOULEVARD,BRONX,NY,"10,472",2092785,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.825744,-73.869257,POINT (-73.869257 40.825744)
SOTOMAYOR HOUSES,67,4,4,BRONX,1010,SOUNDVIEW AVENUE,1010 SOUNDVIEW AVENUE,BRONX,NY,"10,472",2092787,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.8254,-73.869479,POINT (-73.869479 40.8254)
SOTOMAYOR HOUSES,67,5,5,BRONX,1020,SOUNDVIEW AVENUE,1020 SOUNDVIEW AVENUE,BRONX,NY,"10,472",2092788,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.825612,-73.870009,POINT (-73.870009 40.825612)
SOTOMAYOR HOUSES,67,6,6,BRONX,1050,SOUNDVIEW AVENUE,1050 SOUNDVIEW AVENUE,BRONX,NY,"10,472",2092789,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.826186,-73.870616,POINT (-73.870616 40.826186)
SOTOMAYOR HOUSES,67,7,7,BRONX,1670,WATSON AVENUE,1670 WATSON AVENUE,BRONX,NY,"10,472",2092791,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.826629,-73.871051,POINT (-73.871051 40.826629)
SOTOMAYOR HOUSES,67,8,8,BRONX,1690,WATSON AVENUE,1690 WATSON AVENUE,BRONX,NY,"10,472",2092792,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.82678,-73.870439,POINT (-73.870439 40.82678)
SOTOMAYOR HOUSES,67,9,9,BRONX,1040,SOUNDVIEW AVENUE,1040 SOUNDVIEW AVENUE,BRONX,NY,"10,472",2092790,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.826285,-73.869772,POINT (-73.869772 40.826285)
SOTOMAYOR HOUSES,67,10,10,BRONX,1720,WATSON AVENUE,1720 WATSON AVENUE,BRONX,NY,"10,472",2092793,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.826652,-73.869133,POINT (-73.869133 40.826652)
SOTOMAYOR HOUSES,67,11,11,BRONX,1730,WATSON AVENUE,1730 WATSON AVENUE,BRONX,NY,"10,472",2092794,3723,1,2037230001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.827006,-73.868658,POINT (-73.868658 40.827006)
SOTOMAYOR HOUSES,67,12,12,BRONX,1744,WATSON AVENUE,1744 WATSON AVENUE,BRONX,NY,"10,472",2092797,3725,1,2037250001,44,BX0901,Soundview-Bruckner-Bronx River,9,18,85,34,14,,40.82709,-73.867613,POINT (-73.867613 40.82709)
