development,tds_#,building_#,stairhall#,borough,house_#,street,address,city,state,zip_code,bin,block,lot,borough/block/lot_#,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude,longitude,geometry
AMSTERDAM,22,13,23,MANHATTAN,249,WEST 62ND STREET,249 WEST 62ND STREET,NEW YORK,NY,"10,023",1082586,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773603,-73.988524,POINT (-73.988524 40.773603)
AMSTERDAM,22,13,24,MANHATTAN,250,WEST 63RD STREET,250 WEST 63RD STREET,NEW YORK,NY,"10,023",1082586,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773876,-73.98833,POINT (-73.98833 40.773876)
AMSTERDAM ADDITION,187,1,25,MANHATTAN,240,WEST 65TH STREET,240 WEST 65TH STREET,NEW YORK,NY,"10,023",1030340,1156,20,1011560020,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.774842,-73.986874,POINT (-73.986874 40.774842)
ASTORIA,26,1,1,QUEENS,4-21,ASTORIA BOULEVARD,4-21 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430788,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.773119,-73.93301,POINT (-73.93301 40.773119)
ASTORIA,26,2,2,QUEENS,28-02,8TH STREET,28-02 8TH STREET,ASTORIA,NY,"11,102",4430778,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.77344,-73.932676,POINT (-73.932676 40.77344)
ASTORIA,26,3,3,QUEENS,27-10,8TH STREET,27-10 8TH STREET,ASTORIA,NY,"11,102",4430777,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.773928,-73.932433,POINT (-73.932433 40.773928)
ASTORIA,26,4,4,QUEENS,4-10,27TH AVENUE,4-10 27TH AVENUE,ASTORIA,NY,"11,102",4430782,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.774166,-73.933078,POINT (-73.933078 40.774166)
ASTORIA,26,5,5,QUEENS,4-03,ASTORIA BOULEVARD,4-03 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430787,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.77342,-73.933865,POINT (-73.933865 40.77342)
ASTORIA,26,6,6,QUEENS,3-20,27TH AVENUE,3-20 27TH AVENUE,ASTORIA,NY,"11,102",4430781,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.77411,-73.933969,POINT (-73.933969 40.77411)
ASTORIA,26,7,7,QUEENS,3-04,27TH AVENUE,3-04 27TH AVENUE,ASTORIA,NY,"11,102",4430780,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.774578,-73.93433,POINT (-73.93433 40.774578)
ASTORIA,26,8,8,QUEENS,2-10,27TH AVENUE,2-10 27TH AVENUE,ASTORIA,NY,"11,102",4430779,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.774444,-73.935089,POINT (-73.935089 40.774444)
ASTORIA,26,9,9,QUEENS,1-25,ASTORIA BOULEVARD,1-25 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430786,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.773963,-73.935741,POINT (-73.935741 40.773963)
ASTORIA,26,10,10,QUEENS,27-05,1ST STREET,27-05 1ST STREET,ASTORIA,NY,"11,102",4430783,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.775119,-73.935987,POINT (-73.935987 40.775119)
ASTORIA,26,11,11,QUEENS,27-25,1ST STREET,27-25 1ST STREET,ASTORIA,NY,"11,102",4430784,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.774793,-73.936164,POINT (-73.936164 40.774793)
ASTORIA,26,12,12,QUEENS,1-05,ASTORIA BOULEVARD,1-05 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430785,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.774089,-73.936508,POINT (-73.936508 40.774089)
ASTORIA,26,13,13,QUEENS,4-24,ASTORIA BOULEVARD,4-24 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430799,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.772646,-73.933094,POINT (-73.933094 40.772646)
ASTORIA,26,15,15,QUEENS,3-02,ASTORIA BOULEVARD,3-02 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430796,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.773045,-73.93475,POINT (-73.93475 40.773045)
ASTORIA,26,16,16,QUEENS,3-06,ASTORIA BOULEVARD,3-06 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430797,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.772597,-73.934879,POINT (-73.934879 40.772597)
ASTORIA,26,17,17,QUEENS,3-10,ASTORIA BOULEVARD,3-10 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430798,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.772135,-73.935042,POINT (-73.935042 40.772135)
ASTORIA,26,18,18,QUEENS,2-10,ASTORIA BOULEVARD,2-10 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430795,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.772452,-73.936127,POINT (-73.936127 40.772452)
ASTORIA,26,19,19,QUEENS,2-06,ASTORIA BOULEVARD,2-06 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430793,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.772864,-73.935817,POINT (-73.935817 40.772864)
ASTORIA,26,20,20,QUEENS,2-04,ASTORIA BOULEVARD,2-04 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430792,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.773255,-73.935502,POINT (-73.935502 40.773255)
ASTORIA,26,21,21,QUEENS,1-20,ASTORIA BOULEVARD,1-20 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430791,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.772834,-73.936804,POINT (-73.936804 40.772834)
ASTORIA,26,22,22,QUEENS,1-10,ASTORIA BOULEVARD,1-10 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430790,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.773216,-73.937124,POINT (-73.937124 40.773216)
ASTORIA,26,23,23,QUEENS,1-04,ASTORIA BOULEVARD,1-04 ASTORIA BOULEVARD,ASTORIA,NY,"11,102",4430789,490,101,4004900101,87,QN0102,Old Astoria-Hallets Point,1,22,36,59,14,,40.773694,-73.937246,POINT (-73.937246 40.773694)
ATLANTIC TERMINAL SITE 4B,256,1,6,BROOKLYN,487,CARLTON AVENUE,487 CARLTON AVENUE,BROOKLYN,NY,"11,238",3057520,2007,1,3020070001,179,BK0203,Fort Greene,2,35,57,25,8,,40.682991,-73.970236,POINT (-73.970236 40.682991)
BAISLEY PARK,91,1,1,QUEENS,164-01,FOCH BOULEVARD,164-01 FOCH BOULEVARD,JAMAICA,NY,"11,434",4435294,12335,44,4123350044,278,QN1203,Baisley Park,12,28,32,10,5,,40.684941,-73.782305,POINT (-73.782305 40.684941)
BAISLEY PARK,91,2,2,QUEENS,163-11,FOCH BOULEVARD,163-11 FOCH BOULEVARD,JAMAICA,NY,"11,434",4435293,12335,44,4123350044,278,QN1203,Baisley Park,12,28,32,10,5,,40.68482,-73.782815,POINT (-73.782815 40.68482)
BAISLEY PARK,91,3,3,QUEENS,116-80,GUY BREWER BOULEVARD,116-80 GUY BREWER BOULEVARD,JAMAICA,NY,"11,434",4435282,12235,22,4122350022,278,QN1203,Baisley Park,12,28,32,10,5,,40.684522,-73.78367,POINT (-73.78367 40.684522)
BAISLEY PARK,91,4,4,QUEENS,116-40,GUY BREWER BOULEVARD,116-40 GUY BREWER BOULEVARD,JAMAICA,NY,"11,434",4435280,12235,22,4122350022,278,QN1203,Baisley Park,12,28,32,10,5,,40.68535,-73.784147,POINT (-73.784147 40.68535)
BAISLEY PARK,91,5,5,QUEENS,116-30,GUY BREWER BOULEVARD,116-30 GUY BREWER BOULEVARD,JAMAICA,NY,"11,434",4529903,12235,22,4122350022,278,QN1203,Baisley Park,12,28,32,10,5,,40.685828,-73.784527,POINT (-73.784527 40.685828)
BARUCH,60,1,1,MANHATTAN,605,FDR DRIVE,605 FDR DRIVE,NEW YORK,NY,"10,002",1078027,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.718243,-73.975403,POINT (-73.975403 40.718243)
BARUCH,60,1,2,MANHATTAN,595,FDR DRIVE,595 FDR DRIVE,NEW YORK,NY,"10,002",1078027,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.718068,-73.975439,POINT (-73.975439 40.718068)
BARUCH,60,2,3,MANHATTAN,577,FDR DRIVE,577 FDR DRIVE,NEW YORK,NY,"10,002",1078028,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717444,-73.975911,POINT (-73.975911 40.717444)
BARUCH,60,2,4,MANHATTAN,571,FDR DRIVE,571 FDR DRIVE,NEW YORK,NY,"10,002",1078028,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717288,-73.975826,POINT (-73.975826 40.717288)
BARUCH,60,3,5,MANHATTAN,555,FDR DRIVE,555 FDR DRIVE,NEW YORK,NY,"10,002",1078029,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716805,-73.97623,POINT (-73.97623 40.716805)
BARUCH,60,3,6,MANHATTAN,549,FDR DRIVE,549 FDR DRIVE,NEW YORK,NY,"10,002",1078029,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716644,-73.976128,POINT (-73.976128 40.716644)
BARUCH,60,4,7,MANHATTAN,525,FDR DRIVE,525 FDR DRIVE,NEW YORK,NY,"10,002",1078030,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.715918,-73.976669,POINT (-73.976669 40.715918)
BARUCH,60,4,8,MANHATTAN,521,FDR DRIVE,521 FDR DRIVE,NEW YORK,NY,"10,002",1078030,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.715752,-73.976572,POINT (-73.976572 40.715752)
BARUCH,60,5,9,MANHATTAN,64,BARUCH DRIVE,64 BARUCH DRIVE,NEW YORK,NY,"10,002",1078031,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716391,-73.977476,POINT (-73.977476 40.716391)
BARUCH,60,5,10,MANHATTAN,60,BARUCH DRIVE,60 BARUCH DRIVE,NEW YORK,NY,"10,002",1078031,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716184,-73.977446,POINT (-73.977446 40.716184)
BARUCH,60,6,11,MANHATTAN,308,DELANCEY STREET,308 DELANCEY STREET,NEW YORK,NY,"10,002",1083421,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716276,-73.97819,POINT (-73.97819 40.716276)
BARUCH,60,6,12,MANHATTAN,312,DELANCEY STREET,312 DELANCEY STREET,NEW YORK,NY,"10,002",1083421,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716106,-73.978221,POINT (-73.978221 40.716106)
BARUCH,60,7,13,MANHATTAN,72,BARUCH DRIVE,72 BARUCH DRIVE,NEW YORK,NY,"10,002",1078032,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717227,-73.97804,POINT (-73.97804 40.717227)
BARUCH,60,7,14,MANHATTAN,70,BARUCH DRIVE,70 BARUCH DRIVE,NEW YORK,NY,"10,002",1078032,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717075,-73.977944,POINT (-73.977944 40.717075)
BARUCH,60,8,15,MANHATTAN,90,BARUCH DRIVE,90 BARUCH DRIVE,NEW YORK,NY,"10,002",1078033,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717919,-73.977404,POINT (-73.977404 40.717919)
BARUCH,60,8,16,MANHATTAN,80,BARUCH DRIVE,80 BARUCH DRIVE,NEW YORK,NY,"10,002",1078033,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717758,-73.977319,POINT (-73.977319 40.717758)
BARUCH,60,9,17,MANHATTAN,120,BARUCH DRIVE,120 BARUCH DRIVE,NEW YORK,NY,"10,002",1078034,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.718828,-73.977103,POINT (-73.977103 40.718828)
BARUCH,60,9,18,MANHATTAN,110,BARUCH DRIVE,110 BARUCH DRIVE,NEW YORK,NY,"10,002",1078034,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.718663,-73.977127,POINT (-73.977127 40.718663)
BARUCH,60,10,19,MANHATTAN,105,BARUCH DRIVE,105 BARUCH DRIVE,NEW YORK,NY,"10,002",1078035,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.718654,-73.977823,POINT (-73.977823 40.718654)
BARUCH,60,10,20,MANHATTAN,95,BARUCH DRIVE,95 BARUCH DRIVE,NEW YORK,NY,"10,002",1078035,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.718484,-73.977847,POINT (-73.977847 40.718484)
BARUCH,60,11,21,MANHATTAN,79,BARUCH DRIVE,79 BARUCH DRIVE,NEW YORK,NY,"10,002",1078036,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717765,-73.978474,POINT (-73.978474 40.717765)
BARUCH,60,11,22,MANHATTAN,75,BARUCH DRIVE,75 BARUCH DRIVE,NEW YORK,NY,"10,002",1078036,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.717595,-73.978474,POINT (-73.978474 40.717595)
BARUCH,60,12,23,MANHATTAN,296,DELANCEY STREET,296 DELANCEY STREET,NEW YORK,NY,"10,002",1078037,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716856,-73.97871,POINT (-73.97871 40.716856)
BARUCH,60,12,24,MANHATTAN,298,DELANCEY STREET,298 DELANCEY STREET,NEW YORK,NY,"10,002",1078037,323,1,1003230001,"1,002",MN0302,Lower East Side,3,2,74,27,10,,40.716741,-73.978728,POINT (-73.978728 40.716741)
